My eyes! The goggles do nothing!,Rainier Wolfcastle
"Hi, Super Nintendo Chalmers!",Ralph Wiggum
Oh Yeah!,Duffman
"Well, I'm better than dirt. Well, most kinds of dirt. I mean not that fancy store bought dirt. That stuffs loaded with nutrients. I.. I can't compete with that stuff.",Moe Szyslak
Yeah. Call this an unfair generalization if you must.. but old people are no good at everything,Moe Szyslak
"I don't want to sound like a killjoy, but becuase this is not to my taste I don't think anyone else should be allowed to enjoy it.",Marge Simpson
They taste like...burning.,Ralph Wiggum
"Ah, be creative. Instead of making sandwhiches with bread, use Pop-Tarts. Instead of chewing gum, chew bacon.",Dr. Nick
"When I catch you, I'm gonna pull out your eyes and stick 'em down your pants so you can watch me kick the crap outta you, okay? Next I'm gonna use your tongue to paint my boat!",Moe Szyslak
I live in a single room above a bowling alley...and below another bowling alley.,Frank Grimes
"When I catch you, I'm gonna pull out your eyes and stick 'em down your pants so you can watch me kick the crap outta you, okay? Next I'm gonna use your tongue to paint my boat!",Moe Szyslak
They taste like...burning.,Ralph Wiggum
I believe the children are the future... Unless we stop them now!,Homer Simpson
Doughnuts? I told you I don't like ethnic food,Mr. Burns
When I look at people I don't see colors; I just see crackpot religions.,Chief Wiggum
Facts are meaningless. You could use facts to prove anything that's even remotely true.,Homer Simpson
"Remember the time he ate my goldfish? And you lied and said I never had a goldfish. Then why did I have the bowl, Bart? Why did I have the bowl?",Milhouse Van Houten
I can't even say the word 'titmouse' without gigggling like a schoolgirl.,Homer Simpson
Marriage is like a coffin and each kid is another nail.,Homer Simpson
Marriage is like a coffin and each kid is another nail.,Homer Simpson
Facts are meaningless. You could use facts to prove anything that's even remotely true.,Homer Simpson
"Last night's 'Itchy and Scratchy' was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy
Me fail English? That's unpossible.,Ralph Wiggum
Thank you. Come again.,Apu Nahasapeemapetilon
When I look at people I don't see colors; I just see crackpot religions.,Chief Wiggum
"Last night's 'Itchy and Scratchy' was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy
These are my only friends...grown-up nerds like Gore Vidal. And even he's kissed more boys than I ever will.,Lisa Simpson
Ahh! Sweet liquor eases the pain.,Troy McClure
Inflammable means flammable? What a country!,Dr. Nick
That's where I saw the leprechaun...He told me to burn things.,Ralph Wiggum
That's where I saw the leprechaun...He told me to burn things.,Ralph Wiggum
"Oh boy, sleep! That's where I'm a viking!",Ralph Wiggum
By chilling my loins I increase the chances of impregnating my wife.,Apu Nahasapeemapetilon
"For once maybe someone will call me ""sir"" without adding, ""You're making a scene.""",Homer Simpson
Ahh! Sweet liquor eases the pain.,Troy McClure
"I used to be with it. But then they changed what it was. Now what I'm with isn't it, and what's it seems scary and wierd. It'll happen to you.",Abe Simpson
"For once maybe someone will call me ""sir"" without adding, ""You're making a scene.""",Homer Simpson
I'm sleeping in the bath tub.,Marge Simpson
Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?,Abe Simpson
I live in a single room above a bowling alley...and below another bowling alley.,Frank Grimes
Ahh! Sweet liquor eases the pain.,Troy McClure
I'm sleeping in the bath tub.,Marge Simpson
"Remember the time he ate my goldfish? And you lied and said I never had a goldfish. Then why did I have the bowl, Bart? Why did I have the bowl?",Milhouse Van Houten
By chilling my loins I increase the chances of impregnating my wife.,Apu Nahasapeemapetilon
"All I'm gonna use this bed for is sleeping, eating and maybe building a little fort.",Homer Simpson
"Oh boy, sleep! That's where I'm a viking!",Ralph Wiggum
Thank you. Come again.,Apu Nahasapeemapetilon
By chilling my loins I increase the chances of impregnating my wife.,Apu Nahasapeemapetilon
Ahh! Sweet liquor eases the pain.,Troy McClure
"Back in Edinburg, we had a coal miners strike. All we wanted were hats with a wee light on top. Then one day the mine collapsed. No one made it out alive, not even Willie!",Groundskeeper Willie
That's where I saw the leprechaun...He told me to burn things.,Ralph Wiggum
"Ah, be creative. Instead of making sandwhiches with bread, use Pop-Tarts. Instead of chewing gum, chew bacon.",Dr. Nick
"When I catch you, I'm gonna pull out your eyes and stick 'em down your pants so you can watch me kick the crap outta you, okay? Next I'm gonna use your tongue to paint my boat!",Moe Szyslak
"I used to be with it. But then they changed what it was. Now what I'm with isn't it, and what's it seems scary and wierd. It'll happen to you.",Abe Simpson
"Last night's 'Itchy and Scratchy' was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy
Thank you. Come again.,Apu Nahasapeemapetilon
Eat my shorts,Bart Simpson
"Gah, stupid sexy Flanders!",Homer Simpson
Nothing you say can upset us. We're the MTV generation.,Bart Simpson
Ahh! Sweet liquor eases the pain.,Troy McClure
Doughnuts? I told you I don't like ethnic food,Mr. Burns
Nothing you say can upset us. We're the MTV generation.,Bart Simpson
Eat my shorts,Bart Simpson
"All I'm gonna use this bed for is sleeping, eating and maybe building a little fort.",Homer Simpson
Oh Yeah!,Duffman
By chilling my loins I increase the chances of impregnating my wife.,Apu Nahasapeemapetilon
I'm sleeping in the bath tub.,Marge Simpson
You're turning me into a criminal when all I want to be is a petty thug.,Bart Simpson
"Shoplifting is a victimless crime, like punching someone in the dark.",Nelson Muntz
Doughnuts? I told you I don't like ethnic food,Mr. Burns
"Hey, I'm the chief here. Bake him away, toys.",Chief Wiggum
"In theory, Communism works! In theory.",Homer Simpson
Can't we have one meeting that doesn't end with us digging up a corpse?,Mayor Quimby
"Hi, Super Nintendo Chalmers!",Ralph Wiggum
Inflammable means flammable? What a country!,Dr. Nick
I hope I didn't brain my damage.,Homer Simpson
"Last night's ""Itchy & Scratchy"" was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy
